"validation","protocol_name","measurement_type","validation_order"
"FinclipVialNumberDuplicate","POP_Finclip","finclip_vial_num","1"
"LengthRange","Conrath_2012","length","1"
"LengthRange","Forage_Fish_Length","fork_length","1"
"LengthRange","Forage_Fish_Length","standard_length","1"
"LengthRange","Forage_Fish_Length","total_length","1"
"LengthRange","GOA_Summer_Pollock_Length_Weight","length","1"
"LengthRange","GOA_Summer_Pollock_Otolith","length","1"
"LengthRange","GOA_Summer_Pollock_Stomach","length","1"
"LengthRange","Pollock_LW_GSI_Oto_fin_gill","length","1"
"LengthRange","Pollock_LW_GSI_fin_gill","length","1"
"LengthRange","Winter_2020_pol_LW_GSI_Otolith","length","1"
"LengthRange","Winter_2021_pol_LW_GSI_Oto_no_projects","length","1"
"LengthRange","Winter_GOA_otolith_with_finclips","length","1"
"LengthRange","Winter_GOA_standard_with_finclips","length","1"
"LengthRange","Winter_Pollock","length","1"
"LengthRange","Winter_pol_LW_GSI","length","1"
"LengthRange","Winter_pol_LW_GSI_Otolith","length","1"
"LengthWeight","Conrath_2012","organism_weight","2"
"LengthWeight","GOA_Summer_Pollock_Length_Weight","organism_weight","2"
"LengthWeight","GOA_Summer_Pollock_Otolith","organism_weight","2"
"LengthWeight","GOA_Summer_Pollock_Stomach","organism_weight","2"
"LengthWeight","Pollock_LW_GSI_Oto_fin_gill","organism_weight","2"
"LengthWeight","Pollock_LW_GSI_fin_gill","organism_weight","2"
"LengthWeight","Winter_2020_pol_LW_GSI_Otolith","organism_weight","2"
"LengthWeight","Winter_2021_pol_LW_GSI_Oto_no_projects","organism_weight","2"
"LengthWeight","Winter_GOA_otolith_with_finclips","organism_weight","2"
"LengthWeight","Winter_GOA_standard_with_finclips","organism_weight","2"
"LengthWeight","Winter_Pollock","organism_weight","2"
"LengthWeight","Winter_pol_LW_GSI","organism_weight","2"
"LengthWeight","Winter_pol_LW_GSI_Otolith","organism_weight","2"
"OvaryWeightRange","GOA_Summer_Pollock_Length_Weight","gonad_weight","1"
"OvaryWeightRange","GOA_Summer_Pollock_Otolith","gonad_weight","1"
"OvaryWeightRange","GOA_Summer_Pollock_Stomach","gonad_weight","1"
"OvaryWeightRange","Pollock_LW_GSI_Oto_fin_gill","gonad_weight","1"
"OvaryWeightRange","Pollock_LW_GSI_fin_gill","gonad_weight","1"
"OvaryWeightRange","Winter_2020_pol_LW_GSI_Otolith","gonad_weight","1"
"OvaryWeightRange","Winter_2021_pol_LW_GSI_Oto_no_projects","gonad_weight","1"
"OvaryWeightRange","Winter_GOA_otolith_with_finclips","gonad_weight","1"
"OvaryWeightRange","Winter_GOA_standard_with_finclips","gonad_weight","1"
"OvaryWeightRange","Winter_Pollock","gonad_weight","1"
"OvaryWeightRange","Winter_pol_LW_GSI","gonad_weight","1"
"OvaryWeightRange","Winter_pol_LW_GSI_Otolith","gonad_weight","1"
"VialNumberDuplicate","Pollock_LW_GSI_Oto_fin_gill","vial_number","1"
"VialNumberDuplicate","Pollock_LW_GSI_fin_gill","vial_number","1"
"VialNumberDuplicate","Winter_GOA_otolith_with_finclips","vial_number","1"
"VialNumberDuplicate","Winter_GOA_standard_with_finclips","vial_number","1"
"WeightRange","Conrath_2012","organism_weight","1"
"WeightRange","GOA_Summer_Pollock_Length_Weight","organism_weight","1"
"WeightRange","GOA_Summer_Pollock_Otolith","organism_weight","1"
"WeightRange","GOA_Summer_Pollock_Stomach","organism_weight","1"
"WeightRange","Pollock_LW_GSI_Oto_fin_gill","organism_weight","1"
"WeightRange","Pollock_LW_GSI_fin_gill","organism_weight","1"
"WeightRange","Winter_2020_pol_LW_GSI_Otolith","organism_weight","1"
"WeightRange","Winter_2021_pol_LW_GSI_Oto_no_projects","organism_weight","1"
"WeightRange","Winter_GOA_otolith_with_finclips","organism_weight","1"
"WeightRange","Winter_GOA_standard_with_finclips","organism_weight","1"
"WeightRange","Winter_Pollock","organism_weight","1"
"WeightRange","Winter_pol_LW_GSI","organism_weight","1"
"WeightRange","Winter_pol_LW_GSI_Otolith","organism_weight","1"
